time_s,imu_acc_norm_mps2,imu_gyro_norm_rps,stationary_flag,zupt_update_count,update_applied,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps
77.899954277,9.75086662815,0.021479641524,1,195,1,-0.190822712889,0.138006941561,0.0315447953419,0.036512759891,0.039278182909,-0.000161345950253
78.099954277,9.76039189787,0.0134489776563,1,196,1,-0.172606027519,0.137698375472,0.0320592179304,0.076606122333,0.0133773986145,0.00554349797235
78.199954277,9.770482332,0.0156164976867,1,197,1,-0.16092688549,0.136686948638,0.0331097079881,0.0938345599533,0.00493354481904,0.0108278625078
78.299954277,9.80083669898,0.0309040854904,1,198,1,-0.148160217008,0.134297735574,0.0332958554137,0.108842717179,-0.00554732717284,0.0131722367173
78.799954277,9.8163664357,0.00493710441453,1,199,1,-0.0785406672447,0.103110856166,0.0182649005892,0.140241670506,-0.0607815467563,-0.0052159571691
80.299954277,9.74770101101,0.0137976447265,1,200,1,-0.0186294483096,0.0286603412066,-0.0023950871423,-0.0259462069645,-0.0212961251635,-0.00672689303455
80.499954277,9.74188508452,0.00749583217528,1,201,1,-0.0337151997772,0.0331607424121,-0.000225797804728,-0.0557563556262,0.008944224284,-0.00109672797316
80.599954277,9.69735659858,0.0239335016243,1,202,1,-0.0432920763578,0.0356870401053,0.00220752599758,-0.0672018621225,0.0155526798962,0.00260670204376
80.999954277,9.74096761107,0.0146522182621,1,203,1,-0.0908391890944,0.0520875837152,0.0094710345917,-0.103764782495,0.04080302472,0.00205531594432
81.999954277,9.71529078309,0.0211674868607,1,204,1,-0.183395039462,0.100922736187,0.0290321430197,-0.0483680447097,0.0414671100106,0.00921040939702
82.299954277,9.77033904222,0.0088069574769,1,205,1,-0.183736436139,0.107013180449,0.0306512142309,0.00499343286508,0.0226147047288,0.00753551673608
83.199954277,9.81123590584,0.0134233937587,1,206,1,-0.106803603362,0.0764035649544,0.0163707200322,0.113020297545,-0.0370753617348,0.00223223884988
