t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
19.000,-0.390,0.600,-0.0019,0.000,0.000,0,0.000,0.000,-0.029,-0.032,0.000,0.000,0.0000,PLAN,164
19.201,-0.374,0.511,0.0002,0.000,0.000,0,0.000,0.000,0.139,-0.056,0.000,0.000,0.0000,PLAN,183
19.400,-0.374,0.511,0.0002,0.000,0.000,0,0.000,0.000,0.139,-0.056,0.000,0.000,0.0000,PLAN,183
19.600,-0.374,0.511,0.0002,0.000,0.000,0,0.000,0.000,0.139,-0.056,0.000,0.000,0.0000,PLAN,183
19.800,-0.394,0.476,-0.0041,0.000,0.000,0,0.000,0.000,0.059,-0.236,0.000,0.000,0.0000,PLAN,205
20.001,-0.384,0.471,0.0005,0.000,0.000,0,0.000,0.000,0.075,-0.001,0.000,0.000,0.0000,PLAN,215
20.200,-0.355,0.446,-0.0067,0.000,0.000,0,0.000,0.000,0.559,0.066,0.000,0.000,0.0000,PLAN,215
20.400,-0.362,0.410,-0.0016,0.000,0.000,0,0.000,0.000,-0.035,0.196,0.000,0.000,0.0000,PLAN,215
20.601,-0.403,0.463,-0.0008,0.000,0.000,0,0.000,0.000,0.144,-0.002,0.000,0.000,0.0000,PLAN,235
20.801,-0.375,0.444,-0.0044,0.000,0.000,0,0.000,0.000,0.474,0.035,0.000,0.000,0.0000,PLAN,229
21.000,-0.375,0.444,-0.0044,0.000,0.000,0,0.000,0.000,0.474,0.035,0.000,0.000,0.0000,PLAN,229
21.200,-0.409,0.433,-0.0064,0.000,0.000,0,0.000,0.000,-0.327,-0.123,0.000,0.000,0.0000,PLAN,229
21.401,-0.422,0.463,-0.0024,0.000,0.000,0,0.000,0.000,-0.121,-0.035,0.000,0.000,0.0000,PLAN,232
21.600,-0.391,0.460,-0.0006,0.000,0.000,0,0.000,0.000,0.312,0.047,0.000,0.000,0.0000,PLAN,230
21.800,-0.387,0.456,-0.0012,0.000,0.000,0,0.000,0.000,0.237,0.081,0.000,0.000,0.0000,PLAN,221
22.000,-0.408,0.473,-0.0026,0.000,0.000,0,0.000,0.000,-0.099,0.051,0.000,0.000,0.0000,PLAN,221
22.200,-0.381,0.485,-0.0002,0.000,0.000,0,0.000,0.000,0.275,0.051,0.000,0.000,0.0000,PLAN,218
22.400,-0.403,0.494,-0.0005,0.000,0.000,0,0.000,0.000,-0.059,0.044,0.000,0.000,0.0000,PLAN,207
22.600,-0.386,0.503,0.0012,0.000,0.000,0,0.000,0.000,0.126,0.023,0.000,0.000,0.0000,PLAN,214
22.800,-0.387,0.555,-0.0018,0.000,0.000,0,0.000,0.000,-0.018,-0.001,0.000,0.000,0.0000,PLAN,214
23.000,-0.377,0.533,0.0016,0.000,0.000,0,0.000,0.000,0.121,0.008,0.000,0.000,0.0000,PLAN,168
23.200,-0.370,0.547,0.0011,0.000,0.000,0,0.000,0.000,0.074,-0.008,0.000,0.000,0.0000,PLAN,168
23.400,-0.381,0.560,-0.0050,0.000,0.000,0,0.000,0.000,0.015,-0.269,0.000,0.000,0.0000,PLAN,165
23.600,-0.392,0.567,0.0013,0.000,0.000,0,0.000,0.000,-0.024,0.009,0.000,0.000,0.0000,PLAN,174
23.800,-0.379,0.573,0.0011,0.000,0.000,0,0.000,0.000,0.065,0.027,0.000,0.000,0.0000,PLAN,172
24.001,-0.379,0.578,0.0003,0.000,0.000,0,0.000,0.000,0.171,-0.025,0.000,0.000,0.0000,PLAN,171
