t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
39.201,-0.4910,0.5701,0.00266,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4348,0,1
39.400,-0.5107,0.5877,0.00100,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4348,0,1
39.600,-0.5168,0.5935,0.00203,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4348,0,1
39.800,-0.5168,0.5935,0.00203,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4348,0,1
40.000,-0.5231,0.6038,-0.00492,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4348,0,1
40.200,-0.5275,0.6080,0.00176,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4348,0,1
40.401,-0.5244,0.6053,0.00302,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4312,0,1
40.601,-0.5380,0.6236,0.00061,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4312,0,1
40.800,-0.5410,0.6327,-0.00041,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4312,0,1
41.001,-0.5441,0.6392,0.00347,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4312,0,1
41.201,-0.5460,0.6423,0.00119,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4312,0,1
41.400,-0.5472,0.6440,0.00208,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4312,0,1
41.600,-0.5464,0.6444,0.00328,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4312,0,1
41.800,-0.5460,0.6450,0.00172,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4490,0,1
42.001,-0.5459,0.6448,0.00136,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4490,0,1
42.200,-0.5459,0.6448,0.00136,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4490,0,1
42.400,-0.5459,0.6448,0.00136,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4490,0,1
42.601,-0.5459,0.6448,0.00136,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4490,0,1
42.800,-0.5274,0.6204,0.00083,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4827,0,1
43.000,-0.5125,0.6077,0.00077,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4827,0,1
43.200,-0.5022,0.6012,0.00194,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4827,0,1
43.400,-0.4981,0.5979,-0.00016,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4827,0,1
43.600,-0.4947,0.5931,-0.00190,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4827,0,1
